arch,type,attack,n_adv,cpop,fs,lid,lid_ext,maha,kd
resnet50,CNN,FGSM,200,0.96,0.616,0.513,0.513,0.405,0.427
resnet50,CNN,BIM,200,0.901,0.987,0.592,0.592,0.962,0.971
resnet50,CNN,RFGSM,200,0.904,0.987,0.595,0.595,0.959,0.969
resnet50,CNN,PGD,200,0.912,0.988,0.591,0.591,0.961,0.968
resnet50,CNN,MIFGSM,200,0.935,0.986,0.614,0.614,0.985,0.987
resnet50,CNN,DIFGSM,200,0.894,0.929,0.556,0.556,0.884,0.898
resnet50,CNN,TIFGSM,200,0.749,0.909,0.479,0.479,0.768,0.78
resnet50,CNN,NIFGSM,200,0.929,0.956,0.528,0.528,0.767,0.784
resnet50,CNN,APGD,200,0.896,0.99,0.598,0.598,0.974,0.979
resnet50,CNN,AutoAttack,100,0.878,0.971,0.575,0.575,0.826,0.851
resnet50,CNN,CW,100,0.546,0.889,0.503,0.503,0.524,0.531
resnet50,CNN,Square,100,0.557,0.677,0.518,0.518,0.513,0.519
densenet121,CNN,FGSM,200,0.942,0.679,0.631,0.517,0.393,0.299
densenet121,CNN,BIM,200,0.883,0.434,0.895,0.52,0.999,1.0
densenet121,CNN,RFGSM,200,0.888,0.429,0.884,0.514,0.999,1.0
densenet121,CNN,PGD,200,0.901,0.444,0.884,0.519,0.999,1.0
densenet121,CNN,MIFGSM,200,0.919,0.357,0.953,0.519,1.0,1.0
densenet121,CNN,DIFGSM,200,0.871,0.363,0.825,0.522,0.99,0.997
densenet121,CNN,TIFGSM,200,0.731,0.468,0.709,0.513,0.931,0.961
densenet121,CNN,NIFGSM,200,0.913,0.643,0.68,0.52,0.922,0.958
densenet121,CNN,APGD,200,0.877,0.426,0.913,0.526,1.0,1.0
densenet121,CNN,AutoAttack,100,0.861,0.486,0.755,0.504,0.979,0.993
densenet121,CNN,CW,100,0.538,0.852,0.504,0.501,0.443,0.417
densenet121,CNN,Square,100,0.556,0.616,0.519,0.521,0.484,0.469
vit_b_16,Transformer,FGSM,200,0.919,0.545,0.505,0.522,0.579,0.603
vit_b_16,Transformer,BIM,200,0.86,0.724,0.682,0.508,0.853,0.896
vit_b_16,Transformer,RFGSM,200,0.867,0.694,0.675,0.508,0.837,0.887
vit_b_16,Transformer,PGD,200,0.884,0.707,0.689,0.506,0.845,0.884
vit_b_16,Transformer,MIFGSM,200,0.895,0.696,0.698,0.518,0.887,0.924
vit_b_16,Transformer,DIFGSM,200,0.85,0.61,0.63,0.511,0.809,0.851
vit_b_16,Transformer,TIFGSM,200,0.712,0.676,0.616,0.506,0.758,0.795
vit_b_16,Transformer,NIFGSM,200,0.889,0.748,0.606,0.516,0.769,0.81
vit_b_16,Transformer,APGD,200,0.856,0.708,0.677,0.51,0.861,0.909
vit_b_16,Transformer,AutoAttack,100,0.84,0.663,0.628,0.5,0.828,0.879
vit_b_16,Transformer,CW,100,0.52,0.885,0.495,0.501,0.597,0.666
vit_b_16,Transformer,Square,100,0.555,0.692,0.521,0.504,0.589,0.614
swin_t,Transformer,FGSM,200,0.967,0.709,0.553,0.515,0.613,0.615
swin_t,Transformer,BIM,200,0.917,0.879,0.835,0.506,0.996,0.997
swin_t,Transformer,RFGSM,200,0.92,0.877,0.829,0.514,0.996,0.998
swin_t,Transformer,PGD,200,0.929,0.879,0.839,0.511,0.997,0.999
swin_t,Transformer,MIFGSM,200,0.954,0.799,0.869,0.508,1.0,1.0
swin_t,Transformer,DIFGSM,200,0.906,0.712,0.773,0.517,0.978,0.985
swin_t,Transformer,TIFGSM,200,0.745,0.75,0.685,0.513,0.914,0.932
swin_t,Transformer,NIFGSM,200,0.955,0.918,0.745,0.517,0.96,0.969
swin_t,Transformer,APGD,200,0.913,0.874,0.85,0.511,0.999,1.0
swin_t,Transformer,AutoAttack,100,0.892,0.872,0.764,0.512,0.957,0.969
swin_t,Transformer,CW,100,0.556,0.894,0.519,0.502,0.622,0.667
swin_t,Transformer,Square,100,0.561,0.656,0.528,0.514,0.609,0.63
