probe,t,classifier,auroc,n
ADM_ImageNet,1,resnet50,0.914,150
ADM_ImageNet,1,vit_b_16,0.887,150
ADM_ImageNet,1,ALL,0.9,300
ADM_ImageNet,20,resnet50,0.71,150
ADM_ImageNet,20,vit_b_16,0.685,150
ADM_ImageNet,20,ALL,0.698,300
DDPM_CelebAHQ,1,resnet50,0.686,150
DDPM_CelebAHQ,1,vit_b_16,0.654,150
DDPM_CelebAHQ,1,ALL,0.67,300
DDPM_CelebAHQ,20,resnet50,0.626,150
DDPM_CelebAHQ,20,vit_b_16,0.614,150
DDPM_CelebAHQ,20,ALL,0.62,300
DDPM_Church,1,resnet50,0.656,150
DDPM_Church,1,vit_b_16,0.592,150
DDPM_Church,1,ALL,0.624,300
DDPM_Church,20,resnet50,0.637,150
DDPM_Church,20,vit_b_16,0.604,150
DDPM_Church,20,ALL,0.621,300
